latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-6.54126,139.33617,332.51,0.32,0.55,2026-01-27,344,N,VIIRS,n,2.0NRT,288.73,1.82,D
-6.53708,139.36537,356.01,0.32,0.54,2026-01-27,344,N,VIIRS,n,2.0NRT,289.44,6.85,D
-6.53569,139.3642,335.58,0.32,0.55,2026-01-27,344,N,VIIRS,n,2.0NRT,289.18,3.99,D
-6.5353,139.36711,339.37,0.32,0.55,2026-01-27,344,N,VIIRS,n,2.0NRT,289.14,5.04,D
-6.52559,139.30119,337.45,0.32,0.55,2026-01-27,344,N,VIIRS,n,2.0NRT,288.55,2.17,D
-6.2665,138.97728,334.01,0.34,0.56,2026-01-27,344,N,VIIRS,n,2.0NRT,288.1,5.15,D
-6.24104,138.66608,337.12,0.35,0.57,2026-01-27,344,N,VIIRS,n,2.0NRT,291.6,2.84,D
-6.22198,139.65001,327.78,0.6,0.53,2026-01-27,344,N,VIIRS,n,2.0NRT,285.01,5.32,D
-6.21706,139.64931,335.51,0.6,0.53,2026-01-27,344,N,VIIRS,n,2.0NRT,285.9,5.32,D
-4.02692,136.10677,338.14,0.49,0.65,2026-01-27,346,N,VIIRS,n,2.0NRT,291.33,8.56,D
-4.02564,136.10921,342.2,0.49,0.65,2026-01-27,346,N,VIIRS,n,2.0NRT,291.5,7.79,D
-4.01704,136.13326,344.24,0.49,0.65,2026-01-27,346,N,VIIRS,n,2.0NRT,290.24,7.25,D
-4.01626,136.13095,332,0.49,0.65,2026-01-27,346,N,VIIRS,n,2.0NRT,289.46,9.21,D
-3.99793,136.09364,367,0.49,0.65,2026-01-27,346,N,VIIRS,h,2.0NRT,293.24,10.61,D
-3.99738,136.09172,351.93,0.49,0.65,2026-01-27,346,N,VIIRS,n,2.0NRT,292.04,8.07,D
-3.99348,135.86113,351.37,0.51,0.66,2026-01-27,346,N,VIIRS,n,2.0NRT,290.36,8.69,D
-3.9794,136.35785,330.62,0.47,0.64,2026-01-27,346,N,VIIRS,n,2.0NRT,286.72,6.79,D
-3.97886,136.36163,356.85,0.47,0.64,2026-01-27,346,N,VIIRS,l,2.0NRT,289.13,6.79,D
-3.97625,136.36044,367,0.47,0.64,2026-01-27,346,N,VIIRS,h,2.0NRT,290.13,22.27,D
-3.97262,136.36304,342.81,0.47,0.64,2026-01-27,346,N,VIIRS,n,2.0NRT,285.74,8.08,D
-3.8968,136.23676,345.32,0.48,0.65,2026-01-27,346,N,VIIRS,n,2.0NRT,289.39,8.17,D
-3.89361,136.23869,367,0.48,0.65,2026-01-27,346,N,VIIRS,h,2.0NRT,290.22,10.63,D
-3.87195,136.41283,325.87,0.47,0.64,2026-01-27,346,N,VIIRS,n,2.0NRT,289.38,2.95,D
-3.8406,136.42148,328.29,0.47,0.64,2026-01-27,346,N,VIIRS,n,2.0NRT,290.75,3.69,D
