Total Hotspots: 207

| No | Latitude | Longitude | Confidence | Brightness |
|---|---|---|---|---|
| 1 | -3.77582 | 102.35744 | n | 331.89 K |
| 2 | -3.77515 | 102.36156 | n | 340.71 K |
| 3 | -3.73607 | 102.38074 | n | 340.3 K |
| 4 | -3.72327 | 102.34877 | n | 334.81 K |
| 5 | -3.62771 | 102.32679 | n | 334.16 K |
| 6 | -3.60257 | 102.23361 | n | 343.35 K |
| 7 | -3.56802 | 104.45039 | n | 344.84 K |
| 8 | -3.51321 | 102.14809 | n | 338.47 K |
| 9 | -3.10908 | 101.97699 | n | 337.1 K |
| 10 | -2.57988 | 101.29115 | n | 333.17 K |
| 11 | -2.35821 | 101.19576 | n | 342.18 K |
| 12 | -2.30818 | 101.20283 | n | 337.72 K |
| 13 | -2.30462 | 101.19859 | n | 340.48 K |
| 14 | -2.30405 | 101.20222 | h | 367 K |
| 15 | -2.29961 | 101.23084 | n | 343.37 K |
| 16 | -2.24292 | 101.01003 | n | 350.34 K |
| 17 | -2.24195 | 101.01078 | n | 355.8 K |
| 18 | -2.23915 | 101.13251 | n | 340.29 K |
| 19 | -2.23884 | 101.0094 | n | 352.31 K |
| 20 | -2.23788 | 101.01015 | n | 346.1 K |
| 21 | -2.21662 | 100.99126 | n | 334.37 K |
| 22 | -2.21522 | 101.13537 | n | 337.51 K |
| 23 | -2.194 | 101.00245 | n | 350.86 K |
| 24 | -2.18835 | 101.03837 | n | 330.36 K |
| 25 | -2.18308 | 101.15234 | n | 330.26 K |
| 26 | -2.17361 | 100.99932 | n | 343.68 K |
| 27 | -2.15437 | 100.98905 | n | 355.28 K |
| 28 | -2.148 | 101.00274 | n | 340.03 K |
| 29 | -2.13417 | 101.01463 | n | 330.33 K |
| 30 | -2.12711 | 101.00616 | n | 333.61 K |
| 31 | -2.11875 | 100.97916 | n | 341.32 K |
| 32 | -2.0256 | 101.06525 | n | 341.6 K |
| 33 | -2.02444 | 101.07249 | n | 340.55 K |
| 34 | -1.92205 | 101.01292 | n | 334.15 K |
| 35 | -1.92099 | 100.99348 | n | 334.99 K |
| 36 | -1.91159 | 101.02575 | n | 337.2 K |
| 37 | -1.90365 | 100.97585 | n | 335.76 K |
| 38 | -1.70809 | 100.84573 | n | 341.87 K |
| 39 | -1.70756 | 100.84917 | n | 342.76 K |
| 40 | -1.7035 | 100.84853 | n | 336.05 K |
| 41 | -1.57611 | 100.76232 | n | 336.6 K |
| 42 | -1.26406 | 100.52921 | n | 347.23 K |
| 43 | -0.88937 | 101.64716 | n | 355.43 K |
| 44 | -0.88501 | 101.64664 | n | 335.63 K |
| 45 | -0.28541 | 103.66781 | n | 326.88 K |
| 46 | 1.80172 | 101.68504 | n | 344.57 K |
| 47 | 1.80626 | 101.68438 | h | 367 K |
| 48 | -0.05521 | 103.25436 | n | 323.27 K |
| 49 | -0.05322 | 103.25169 | n | 325.48 K |
| 50 | -0.04177 | 103.05148 | n | 301.9 K |
| 51 | -0.04127 | 103.04815 | n | 303.38 K |
| 52 | -0.03453 | 103.03696 | n | 304.01 K |
| 53 | -0.03415 | 103.03359 | n | 308.1 K |
| 54 | -0.0337 | 103.03182 | n | 303.31 K |
| 55 | 0.71853 | 101.45205 | n | 298.4 K |
| 56 | 1.09846 | 104.26656 | n | 321.11 K |
| 57 | 1.09913 | 104.2622 | n | 304.76 K |
| 58 | 1.10293 | 104.26724 | n | 299.01 K |
| 59 | 1.10915 | 104.57476 | n | 298.63 K |
| 60 | 1.27787 | 103.70361 | n | 300.71 K |
| 61 | 1.67105 | 101.47467 | n | 309.67 K |
| 62 | 1.67417 | 101.38156 | n | 319.31 K |
| 63 | 1.80148 | 101.68182 | n | 307.42 K |
| 64 | 1.80268 | 101.685 | n | 328.31 K |
| 65 | 1.80319 | 101.68159 | n | 312.06 K |
| 66 | 1.80807 | 101.68585 | n | 342.5 K |
| 67 | 1.80858 | 101.68245 | n | 304.57 K |
| 68 | -1.02322 | 103.36165 | n | 300.94 K |
| 69 | -3.55384 | 102.15901 | n | 339.71 K |
| 70 | -2.8643 | 104.54379 | n | 330.16 K |
| 71 | -1.92437 | 101.27242 | n | 340.63 K |
| 72 | -1.73007 | 103.03439 | n | 337.28 K |
| 73 | -1.72655 | 103.03386 | n | 343.41 K |
| 74 | 1.05038 | 104.26663 | n | 333.25 K |
| 75 | 1.09564 | 104.27157 | n | 341.21 K |
| 76 | 1.09952 | 104.27096 | n | 352.36 K |
| 77 | 1.80548 | 101.6846 | n | 332.43 K |
| 78 | -0.98896 | 103.33006 | n | 299.93 K |
| 79 | 1.28011 | 103.7023 | n | 298.17 K |
| 80 | 1.37399 | 104.15689 | n | 308.42 K |
| 81 | 1.38023 | 104.15769 | n | 330.44 K |
| 82 | 1.67194 | 101.47482 | n | 321.1 K |
| 83 | 1.67261 | 101.47893 | n | 318.57 K |
| 84 | 1.67337 | 101.47422 | n | 309.77 K |
| 85 | 1.67535 | 101.37972 | n | 303.6 K |
| 86 | 1.67538 | 101.38345 | n | 307.05 K |
| 87 | 1.84688 | 100.96161 | n | 306.56 K |
| 88 | 1.84923 | 100.9642 | n | 302.59 K |
| 89 | -0.78918 | 101.0246 | n | 338.71 K |
| 90 | -0.7886 | 101.02277 | n | 343.29 K |
| 91 | 0.8942 | 104.03778 | n | 333.17 K |
| 92 | 0.96966 | 104.46484 | n | 334.81 K |
| 93 | 1.01025 | 104.64187 | n | 343.66 K |
| 94 | 1.04326 | 104.25896 | n | 335.72 K |
| 95 | -0.03844 | 103.04837 | n | 297.76 K |
| 96 | 0.44386 | 101.89132 | n | 298.58 K |
| 97 | 1.0044 | 104.64757 | n | 313.96 K |
| 98 | 1.37685 | 104.15976 | n | 338.34 K |
| 99 | 1.37742 | 104.15636 | n | 306.42 K |
| 100 | 1.83164 | 103.23521 | n | 301.86 K |
| 101 | 1.83251 | 103.2346 | n | 307.3 K |
| 102 | 1.01082 | 104.80635 | n | 333.99 K |
| 103 | 1.0258 | 103.86952 | n | 352.27 K |
| 104 | 1.09309 | 104.27654 | n | 331.12 K |
